epoch,32-bits (c),32-bits (b),8-bits (c),8-bits (b),4-bits (c),4-bits (b)
45 (loss),0.4941,1.1206,0.4945,1.0954,0.7069,0.7918
46 (acc.),90.8300,18.4500,90.7700,18.6900,85.6900,49.1800
46 (loss),0.4744,1.0026,0.4765,0.9942,0.7262,0.7294
47 (acc.),90.0100,20.2400,89.9600,20.7600,85.2500,58.9800
47 (loss),0.5004,0.9374,0.5040,0.9103,0.7271,0.6485
48 (acc.),90.4300,16.9400,90.4900,16.9900,84.9300,38.8300
48 (loss),0.5254,1.1463,0.5267,1.1466,0.8563,0.8558
49 (acc.),91.4400,19.4600,91.3600,19.6400,86.5700,51.7600
49 (loss),0.4540,0.9920,0.4554,0.9708,0.7400,0.7191
50 (acc.),90.4500,19.5800,90.5100,20.2200,84.9400,43.0700
50 (loss),0.4980,0.9586,0.5014,0.9189,0.8065,0.7800
