epoch,32-bits (c),32-bits (b),8-bits (c),8-bits (b),4-bits (c),4-bits (b)
0 (acc.),92.9800,10.3200,92.9000,10.3400,88.3100,10.3400
0 (loss),0.3628,18.5247,0.3618,18.4855,0.6165,16.8753
1 (acc.),90.7700,42.4500,90.8400,42.2600,84.8700,83.9000
1 (loss),0.3066,1.1709,0.3060,1.1726,0.4631,0.3991
2 (acc.),91.2000,34.6300,91.1400,34.6800,87.8200,90.8600
2 (loss),0.3186,1.2640,0.3184,1.2579,0.4344,0.2884
3 (acc.),91.0800,41.4900,91.0500,42.1300,86.3200,95.7100
3 (loss),0.3495,1.0044,0.3522,0.9913,0.5032,0.1554
4 (acc.),90.6000,35.5800,90.5800,35.9200,86.1000,97.0500
4 (loss),0.3638,1.0376,0.3623,1.0325,0.5046,0.1159
5 (acc.),91.0700,38.2800,90.9400,39.8300,86.9900,97.1900
5 (loss),0.3853,0.9667,0.3872,0.9404,0.5279,0.0877
6 (acc.),90.8800,21.1400,90.8800,21.2000,87.6000,96.8700
6 (loss),0.3811,1.3273,0.3820,1.3234,0.4939,0.1165
7 (acc.),90.8500,29.6300,90.7800,29.2200,87.8000,96.8600
7 (loss),0.4049,1.0444,0.4063,1.0546,0.5318,0.1018
8 (acc.),90.0100,26.2300,90.0300,26.8900,87.3100,97.3100
8 (loss),0.4088,1.0894,0.4094,1.0789,0.5281,0.0950
9 (acc.),90.1400,40.3000,90.2000,40.9700,86.5200,98.6100
9 (loss),0.4071,0.8397,0.4083,0.8327,0.5330,0.0473
10 (acc.),91.4300,21.4500,91.4200,21.6100,89.3400,97.6700
10 (loss),0.3786,1.1621,0.3787,1.1525,0.4789,0.0842
11 (acc.),90.3900,23.3800,90.4200,23.4400,88.4000,97.6600
11 (loss),0.4373,1.0921,0.4387,1.0928,0.5185,0.0875
12 (acc.),89.7800,27.0300,89.8100,26.5500,86.4400,97.8600
12 (loss),0.4671,0.9938,0.4663,1.0029,0.6207,0.0806
13 (acc.),91.5700,30.5100,91.5200,30.9700,88.7600,98.1900
13 (loss),0.3916,0.9010,0.3903,0.8998,0.4914,0.0502
